quantity,bin,binBarcode,barcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity,lastReceivedAt,lastReceivedPO
4,BIN-04,1767452692385,5407010746662,Shelf 2,4,Kentucky Horsewear Anti Fly Nose Net,Horse Wear > Fly & Insect Control > Fly Masks,42663-01-F,Size: Full,Color: Black,,,,Wellington Warehouse,13.03,13.03,13.03,39.99,0,0,,,
1,BIN-03,1777314709513,5407010747485,Shelf 21,3,Kentucky Horsewear Wellington Soundless Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42609-33-L,Size: Oversized,Color: Navy,,,,Wellington Warehouse,56.51,56.51,56.51,159.99,0,0,,,
0,BIN-03,1777314709513,5425030833674,Shelf 21,3,Kentucky Horsewear Wellington Soundless Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42609-33-F,Size: Full,Color: Navy,,,,Wellington Warehouse,56.51,56.51,56.51,159.99,0,0,0.035714287,,
1,BIN-03,1777314709513,5407007534876,Shelf 21,3,Kentucky Horsewear Wellington Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42608-33-C,Size: Cob,Color: Navy,,,,Wellington Warehouse,52.16,52.16,52.16,149.99,0,0,,,
1,BIN-03,1777314709513,5407007534869,Shelf 21,3,Kentucky Horsewear Wellington Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42608-01-C,Size: Cob,Color: Black,,,,Wellington Warehouse,52.16,52.16,52.16,149.99,0,0,,,
2,ROW 4 : LVL 1,1774281614631,5404022092404,Grooming/Tack Cleaner,1,Grooming Deluxe Allmond Gloss Purple Shampoo,"Horse Care > Grooming & Bathing > Shampoos, Conditioners, & Sprays > Shampoos",72118,Title: Default Title,,,,,Wellington Warehouse,10.02,10.02,10.02,44.99,0,0,0.06896552,,
6,BIN-04,1767452692385,5407010746679,Shelf 2,4,Kentucky Horsewear Anti Fly Nose Net,Horse Wear > Fly & Insect Control > Fly Masks,42663-05-F,Size: Full,Color: Brown,,,,Wellington Warehouse,13.03,13.03,13.03,39.99,0,0,,,
1,BIN-03,1777314709513,5425030837306,Shelf 21,3,Kentucky Horsewear Wellington Stone & Pearl Soundless Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42615-08-F,Size: Full,Color: Grey,,,,Wellington Warehouse,73.89,73.89,73.89,204.99,0,0,,,
1,BIN-03,1777314709513,5425030837269,Shelf 21,3,Kentucky Horsewear Wellington Stone & Pearl Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42614-08-F,Size: Full,Color: Grey,,,,Wellington Warehouse,69.55,69.55,69.55,189.99,0,0,0.030303031,,
2,BIN-03,1777314709513,5425030837399,Shelf 21,3,Kentucky Horsewear Wellington Stone & Pearl Long Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42616-05-F,Size: Full,Color: Brown,,,,Wellington Warehouse,69.55,69.55,69.55,189.99,0,0,,,
2,BIN-03,1777314709513,5425030837238,Shelf 21,3,Kentucky Horsewear Wellington Stone & Pearl Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42614-01-F,Size: Full,Color: Black,,,,Wellington Warehouse,69.55,69.55,69.55,189.99,0,0,,,
